pdfsize,metadata_size,pages,title_characters,isEncrypted,embedded_files,images,text,header,obj,stream,xref,trailer,ObjStm,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,launch,XFA,Class
455,397,99,123,Yes,4,17,854,%PDF-1.4,29,175,73,1,43,0,0,0,0,0,0,0,0,Malicious
3872,913,77,155,Yes,3,9,241,%PDF-1.6,234,12,2,28,10,0,0,0,0,0,0,0,0,Benign
3276,520,32,147,No,2,19,299,%PDF-1.7,227,79,8,37,39,0,0,0,0,0,0,0,0,Malicious
2200,714,97,26,No,4,15,322,%PDF-1.4,130,91,67,27,28,0,0,0,0,0,0,0,0,Benign
2170,484,50,165,No,0,13,177,%PDF-1.3,64,159,91,19,37,0,0,0,0,0,0,0,0,Benign
4294,302,50,107,No,4,18,155,%PDF-1.7,23,25,159,41,37,0,0,0,0,0,0,0,0,Malicious
438,776,43,64,No,4,10,347,%PDF-1.3,5,86,27,19,26,0,0,0,0,0,0,0,0,Benign
3489,970,15,102,Yes,2,14,874,%PDF-1.5,241,30,167,35,12,0,0,0,0,0,0,0,0,Benign
1015,300,93,193,Yes,3,5,1,%PDF-1.4,45,157,47,23,26,0,0,0,0,0,0,0,0,Malicious
479,789,2,171,No,2,19,283,%PDF-1.3,479,126,28,2,41,0,0,0,0,0,0,0,0,Benign
2637,298,18,166,Yes,1,12,60,%PDF-1.6,123,99,140,26,48,0,0,0,0,0,0,0,0,Malicious
4878,731,23,92,No,3,15,561,%PDF-1.3,326,78,155,3,46,0,0,0,0,0,0,0,0,Benign
3681,799,28,156,No,1,9,250,%PDF-1.6,337,30,121,46,9,0,0,0,0,0,0,0,0,Benign
3808,476,14,77,Yes,1,17,791,%PDF-1.6,248,184,24,30,29,0,0,0,0,0,0,0,0,Malicious
3590,750,2,137,No,2,1,585,%PDF-1.3,441,129,23,19,5,0,0,0,0,0,0,0,0,Benign
3932,308,68,127,No,4,2,783,%PDF-1.3,56,63,78,24,33,0,0,0,0,0,0,0,0,Benign
2571,125,96,49,Yes,1,10,634,%PDF-1.6,117,82,90,31,49,0,0,0,0,0,0,0,0,Malicious
649,141,13,53,Yes,2,14,438,%PDF-1.5,126,145,199,13,2,0,0,0,0,0,0,0,0,Malicious
4200,474,30,12,No,0,16,860,%PDF-1.3,68,143,58,15,32,0,0,0,0,0,0,0,0,Benign
2257,907,51,27,No,0,8,476,%PDF-1.7,148,92,39,21,47,0,0,0,0,0,0,0,0,Malicious
2506,171,92,86,Yes,0,12,949,%PDF-1.4,157,60,189,13,42,0,0,0,0,0,0,0,0,Malicious
1860,482,69,95,No,0,11,994,%PDF-1.3,382,131,31,38,19,0,0,0,0,0,0,0,0,Malicious
920,718,76,33,Yes,4,19,589,%PDF-1.7,151,131,6,6,5,0,0,0,0,0,0,0,0,Benign
4634,242,58,83,No,4,13,674,%PDF-1.3,438,119,85,41,46,0,0,0,0,0,0,0,0,Malicious
3910,735,42,120,No,4,8,255,%PDF-1.5,386,14,80,18,46,0,0,0,0,0,0,0,0,Malicious
3222,340,20,46,Yes,0,19,814,%PDF-1.7,450,94,124,28,28,0,0,0,0,0,0,0,0,Malicious
